RA,DEC,DELTA_3MPC
341.835785,55.566311,-0.7547
125.957057,25.372567,1.2908
58.717717,13.407652,-0.4933
95.070242,55.97654,-0.9442
53.3392,54.929369,-0.8892
141.928431,53.928619,1.6004
314.124216,8.195169,0.3363
124.941563,-32.272302,-0.6801
53.576173,-17.430124,-0.2064
188.147838,32.581184,0.826
357.099774,73.843567,-0.7975
67.745239,40.080685,0.0681
280.034983,52.392863,-0.7843
296.40922,-37.445474,0.0275
144.481804,-11.113926,1.2004
223.038518,44.437079,1.582
155.654442,66.74835,-0.5224
94.437697,2.199447,0.4682
153.402768,-86.711371,0.0825
34.304449,69.425839,-0.6878
254.504201,-72.501418,-0.8715
298.509491,5.343773,1.8576
110.663976,-3.733608,-0.4089
203.931657,83.178028,-0.5395
83.573472,-67.54235,0.143
45.885762,29.549979,6.7728
238.902683,-34.019278,-0.9493
48.278735,-11.874139,4.9406
281.512465,-15.042651,-0.4781
97.831638,-27.265091,-0.3118
294.664821,68.423816,-0.8117
132.661647,39.851932,-0.9088
132.783333,71.809898,0.055
270.206194,55.636222,-0.5994
183.695679,-14.989349,-0.7027
72.351874,-78.90675,-0.7873
306.147077,-36.210842,-0.9327
122.455155,-27.773511,-0.4897
36.999634,-71.654065,-0.291
149.760376,-62.251411,0.4075
206.626235,-85.860167,-0.2022
219.55872,-11.046791,-0.3657
300.818824,-59.459891,-0.8364
194.906457,-41.135909,0.8374
80.535774,-3.472513,-0.6044
94.199879,-60.468325,-0.2308
36.302612,-78.218293,-0.7472
264.932744,47.841824,0.7345
38.138957,69.369191,1.6051
218.092548,-29.226668,-0.7001
214.901062,-6.736669,3.1757
282.781281,-38.121246,1.0082
26.866692,-6.846743,6.1478
73.048084,-73.986901,2.088
327.442456,-7.291359,-0.3704
206.005259,-6.950951,-0.8584
164.768477,-34.729399,0.0434
269.163456,66.242899,-0.91
324.910962,-14.379995,1.0945
94.683469,-63.299278,-0.1645
324.531226,45.0998,-0.6774
39.130065,-63.653078,-0.5266
351.965897,-74.633064,2.0864
59.346657,-23.605571,0.028
95.845093,53.515234,-0.4061
34.773818,81.237899,-0.599
289.323542,28.438391,-0.237
354.323542,71.108942,0.6684
106.911543,12.358003,0.161
117.220306,-55.740216,-0.8162
100.432765,11.714838,0.1611
55.738116,42.549593,-0.7883
283.479918,-76.517523,-0.3323
21.859142,-14.440817,-0.941
348.398687,-74.8379,-0.576
333.833589,-18.597653,-0.6964
42.638071,11.284668,-0.8417
190.628586,39.178813,-0.5908
357.426489,-26.027485,0.9195
306.94293,-67.982375,-0.7333
257.448141,-0.89247,-0.8846
8.08594,-66.732672,3.071
24.61588,-72.586451,-0.5999
285.846155,41.839512,1.8863
135.520148,19.556468,-0.8082
240.635476,5.515785,1.2643
266.105386,-59.816813,0.7568
151.986304,75.664671,0.7291
51.61743,64.872322,0.2668
139.210021,61.705882,1.2245
313.577439,-78.250966,-0.4525
119.19088,-76.994347,-0.5056
22.553799,-5.160351,0.5659
345.28731,-38.10601,3.9944
245.043687,-29.499727,20.8451
194.708431,37.736178,-0.2013
298.478645,78.368751,-0.7396
148.017844,18.580379,-0.4396
354.641686,-84.821777,-0.7338
308.726305,-82.774747,-0.3883
100.996107,-48.323279,-0.3798
133.577275,-88.374953,-0.09
99.267467,-65.06295,0.0211
237.362703,-80.435513,-0.0611
230.159495,-40.038019,-0.8835
188.102114,-81.782025,-0.7403
347.702535,74.036633,-0.8145
170.019104,4.166341,0.3978
282.140062,65.122038,-0.9369
236.914242,32.133277,1.9602
186.546578,-7.130737,0.3553
15.154239,-6.192375,-0.1629
236.698209,39.708728,-0.829
231.33423,-32.244194,-0.3981
44.954638,5.582989,-0.8954
286.529391,-68.864267,0.7991
168.11787,51.277989,-0.3508
116.692565,-30.910934,3.2473
296.625379,-57.843266,2.8134
123.613545,43.349296,-0.1404
223.866285,-73.218597,0.7307
222.449329,81.357293,3.6476
19.010154,34.102955,-0.8931
152.220107,43.276811,-0.5321
80.20035,-75.245029,-0.4452
71.845438,11.467075,0.6722
235.78628,-84.606864,-0.1407
4.107598,-31.109605,-0.2092
348.868432,40.339742,-0.8741
142.340762,-51.176308,-0.7342
107.56927,35.487158,0.3741
331.190784,9.082219,-0.3828
175.201971,73.903166,-0.5986
221.157091,-0.566688,-0.5268
250.50627,-35.786391,0.9028
313.708058,67.484426,0.1263
46.707116,-3.966782,-0.6951
29.395144,-38.146879,5.6272
357.735882,-15.185564,-0.3539
3.198169,-10.273226,-0.7254
254.950111,-49.983645,-0.7442
219.98353,53.540548,0.2007
198.918368,57.683951,1.0189
282.898065,-9.88499,2.0856
357.290261,-86.944937,0.7375
16.878896,-71.476534,0.0367
221.230977,1.632295,-0.8169
258.039961,-43.045069,1.0109
110.13815,-30.45712,-0.1089
321.430099,5.499831,0.6539
164.517423,29.302496,-0.1441
59.212246,-56.312956,-0.4705
307.586814,33.668048,-0.4229
339.453223,-70.363627,-0.0801
35.825371,11.659224,-0.4553
270.605112,30.597206,-0.8886
77.405119,-37.433358,5.8379
2.419998,60.546237,-0.7772
93.820976,51.872583,-0.9299
307.767541,68.728947,-0.654
50.826196,-28.480999,-0.8377
47.040798,77.98212,19.5122
266.057174,-2.84953,-0.4991
146.28947,-33.995626,0.9188
53.454986,22.147926,-0.2749
82.800136,69.057219,-0.956
286.056693,70.028365,1.122
224.376764,-46.298422,-0.8511
273.934358,-62.548775,0.0776
35.198366,-9.397328,-0.8955
164.917542,78.943701,-0.2255
286.95825,83.726102,-0.4852
95.68539,-40.355228,-0.5322
60.908029,-77.867753,-0.4101
137.442202,37.685177,-0.7013
120.016791,-48.279148,-0.963
66.7702,-52.005359,0.499
343.420173,42.417467,1.381
173.915426,-53.812983,-0.1297
218.907488,51.046688,-0.8973
43.598487,76.693469,-0.6365
219.612632,-62.356554,-0.2044
199.91617,8.493294,-0.8228
335.494558,36.021792,0.2342
148.434048,6.3137,0.8147
281.542356,73.753083,-0.747
109.505152,-77.80195,1.5815
208.418528,89.042638,-0.6879
333.709343,10.909853,-0.5104
225.025672,-51.590786,-0.4053
256.017126,23.919858,1.49
315.354429,29.616627,-0.5326
333.152771,-89.082322,2.0655
74.978955,60.653612,-0.7819
70.501691,-77.190968,8.6477
198.171406,-51.329447,-0.8836
358.385895,17.281123,0.2002
176.454836,49.416989,-0.6256
119.125787,25.030955,-0.9624
193.414059,21.720722,0.0211
23.182479,-1.274517,0.2461
63.794437,2.433191,1.0804
53.61135,-12.560479,-0.6613
10.049596,-40.004264,-0.2934
259.996429,-24.69844,0.5759
117.170837,68.06743,-0.5141
60.673072,-21.073815,-0.681
184.407757,46.961938,-0.2463
116.439986,20.255065,3.0437
141.486397,-49.679096,-0.6815
113.591454,-62.296456,-0.5276
1.434065,-67.866682,-0.8177
247.798391,-0.821582,-0.2883
39.848572,-53.353561,1.1013
78.891263,-43.267785,-0.9094
68.514136,60.794708,-0.5598
119.292226,-2.046845,1.048
57.671165,-30.113263,-0.662
124.902765,-56.623331,-0.7169
87.575164,-11.328363,-0.6968
22.037441,-42.571183,0.3213
313.402672,-82.970632,-0.2809
110.009199,66.130326,1.3252
34.301573,12.354663,-0.6369
187.749496,59.530671,-0.32
44.379187,43.344871,-0.4495
278.313553,-87.357674,0.0171
22.16806,27.615875,-0.9077
167.268942,-64.745535,-0.3611
339.777479,-76.878285,0.0478
57.228859,-84.740334,-0.9872
72.492724,62.031157,-0.6838
216.167368,12.71557,-0.4036
352.747466,49.091289,0.1044
138.900869,24.906067,2.0161
233.512233,-65.04092,8.1876
54.834143,19.437498,-0.2472
230.902968,-69.858679,0.3331
90.958343,-80.543683,-0.5108
220.783539,-28.736823,0.5269
31.918035,-72.023933,-0.4638
188.988848,37.004352,5.7503
85.465798,18.97943,2.5972
245.415133,32.887733,-0.2409
269.161123,73.348751,-0.5913
305.331311,-24.615013,-0.2159
357.262333,10.552078,-0.6282
165.367721,-22.667807,-0.2078
241.41399,-64.746233,-0.8456
6.632538,61.457012,2.4606
325.831332,13.034523,-0.6878
221.667532,22.19518,0.3733
151.684193,-43.535639,-0.9588
156.352587,59.052482,-0.7663
272.878433,1.700525,4.3691
300.049201,-77.50368,0.011
290.845323,-32.294442,3.5739
183.810475,-8.225607,-0.4023
133.61279,-29.876801,-0.5731
340.39417,-69.371846,1.0347
228.311829,-31.593218,-0.2364
195.715227,-89.474782,-0.4663
215.394816,-51.899362,4.077
226.751943,24.989159,3.7888
256.706238,7.187498,2.5267
199.14649,-22.435754,-0.6235
315.127928,82.772855,-0.9871
309.497117,-81.740187,-0.7196
159.212788,25.224822,-0.5043
60.673,21.839109,-0.7713
207.596057,3.741832,-0.6607
223.466228,-42.531932,0.5973
188.416647,0.741083,-0.8575
320.608013,-5.351442,-0.8144
33.487293,-63.738004,-0.6139
103.470662,-47.409955,-0.4154
311.684345,-11.276881,4.9596
338.188793,-23.031774,-0.638
153.333027,-66.596451,2.3111
69.351833,-47.092486,-0.3928
151.318619,16.522857,0.1679
164.21992,36.694212,0.9244
187.044976,45.274713,10.1836
98.767109,7.128419,-0.7563
112.545867,-80.095229,0.0461
236.011547,-48.406938,0.5823
223.845894,41.061493,-0.8661
238.356905,-38.077542,-0.9092
135.822594,30.6304,-0.9253
121.124462,26.561262,-0.947
126.553922,2.862265,-0.7371
342.423535,-34.486225,0.4582
142.288237,-75.629091,-0.6951
218.207663,41.293623,-0.5445
188.223547,-45.491424,-0.624
315.439854,-39.047559,0.7605
132.882048,-67.952655,0.3887
156.292,41.000606,-0.0785
303.405944,82.741893,2.8003
57.944741,-3.244685,-0.5478
213.946037,-24.864783,0.2494
143.966955,2.957933,-0.6281
354.884961,-19.555644,-0.8418
259.698282,-34.453097,0.1435
3.800255,84.883466,-0.3741
302.210604,78.300021,-0.5237
253.144676,22.617169,-0.1489
201.94593,-86.49136,-0.235
85.006251,-23.157207,-0.4907
53.753994,-54.19131,-0.9408
226.223843,14.987457,-0.7625
158.378498,-18.093548,-0.4838
310.183312,-15.016738,-0.1956
94.454485,76.135067,-0.1909
229.507193,72.719385,-0.8183
89.583493,-41.165919,-0.5835
229.074148,22.214702,-0.9861
17.404071,65.88045,-0.0739
141.014674,82.789974,0.8266
62.166822,43.916187,1.8161
218.136239,-72.129932,-0.8447
114.022099,32.415884,-0.8334
277.751742,-1.548929,1.0705
41.25397,-38.004651,1.5416
200.236704,70.479803,-0.5747
213.724031,24.943512,-0.2711
7.957476,74.346066,0.2143
12.954856,-77.902667,-0.871
110.966462,51.125371,0.2071
219.267158,15.564952,0.9887
346.546798,-35.744928,-0.5373
32.682064,67.803819,3.8787
253.138598,53.484325,-0.5867
249.377804,12.306924,-0.9205
241.010728,84.933922,-0.46
185.813043,53.665034,-0.881
348.057342,-5.876487,0.0497
180.63905,-80.169142,1.2028
301.786949,19.576353,-0.8486
94.507417,-11.982167,0.5516
290.27106,14.270809,0.2755
358.756464,-81.502008,-0.7488
327.630956,58.252062,-0.5149
109.465819,54.92741,-0.2839
304.616691,45.881099,-0.2801
34.292564,50.412535,-0.6157
243.974721,-57.319028,-0.7291
123.172644,2.139266,-0.8593
237.121232,46.384795,-0.8045
148.409643,22.176818,-0.7025
3.251934,3.155938,0.6574
83.259559,-26.089996,-0.928
15.259044,29.225958,-0.4656
153.817172,-82.93504,2.3448
302.425663,-84.927451,-0.9655
265.678833,-11.504595,-0.1094
284.008387,8.708385,-0.6226
290.591874,-31.629577,-0.3804
133.898324,32.796054,-0.4519
182.169263,77.257521,1.664
183.042421,-66.977321,-0.6418
40.755066,-4.612839,-0.5671
215.331164,79.679503,-0.6218
259.26472,81.903664,0.0616
219.948415,-1.676182,-0.5956
268.547736,48.68762,-0.183
42.800857,-55.41134,0.596
274.107221,54.86867,-0.4791
74.930437,85.599316,-0.7789
315.657656,-30.26732,-0.9659
88.175272,-47.723109,1.9525
177.117258,-68.797493,0.3291
175.415867,-9.488951,-0.8093
96.786115,-31.244837,-0.544
130.21545,-0.202821,5.1885
66.81483,3.228769,-0.7882
205.236251,65.339429,1.0869
328.690089,68.865332,3.4358
113.978726,-11.176665,-0.592
182.90254,46.598397,-0.8379
310.27702,10.508747,-0.1989
162.899657,40.716091,-0.5549
299.253718,36.085495,-0.1791
160.700639,59.009213,-0.7029
158.487288,-60.596554,-0.7014
56.606386,53.258952,0.2194
44.992377,-49.523711,-0.9442
220.138828,33.790579,-0.1591
297.840069,82.747152,-0.7108
48.746335,15.248726,-0.3505
327.633821,69.400829,-0.9177
129.196729,55.938809,5.0467
153.092594,36.215258,-0.2436
322.003225,-76.552081,1.0074
322.666722,-85.657372,-0.8344
188.949196,73.169837,-0.7217
99.63538,35.51001,-0.3363
61.89821,8.538383,-0.3928
97.768817,-89.500456,-0.0583
281.025863,-67.64006,-0.45
116.852689,34.165174,-0.4603
250.042126,-47.761643,-0.3208
70.272296,-25.828382,-0.4798
172.261308,59.272144,-0.606
126.758238,-31.586682,-0.6911
181.300436,3.172109,0.812
205.180305,-77.294182,-0.7987
356.736587,-0.748432,-0.8645
323.962217,38.977588,-0.397
250.511932,-48.787423,0.1265
55.347649,14.340355,39.6253
330.85028,15.798597,-0.7273
321.330985,56.810105,-0.3089
319.213235,-24.99122,-0.6227
172.446071,71.009912,-0.3598
61.454416,-5.352202,0.2581
271.585157,-84.136289,-0.7668
139.865414,-76.123898,-0.0655
124.044584,73.974991,-0.7726
140.681525,-76.049985,-0.6404
201.265401,52.8799,0.6273
120.066779,87.563665,-0.6101
248.37142,60.599918,-0.4882
233.180566,-16.986461,1.172
183.190541,-48.109021,6.9621
19.430363,-61.029621,1.1362
337.155366,-23.850109,-0.373
148.210662,-1.732547,-0.773
161.80315,-4.505835,-0.7547
164.171704,21.398713,-0.8275
131.410065,52.51451,-0.7344
242.851648,-60.098821,-0.42
5.01037,-30.355885,-0.5348
314.462999,43.71712,-0.554
36.878049,70.485007,0.0404
359.896923,61.028605,0.1048
226.109747,84.416429,-0.2219
23.848731,53.621606,0.1743
202.477341,84.989358,18.7201
119.270805,78.42054,0.1973
343.09556,27.906986,1.1775
271.969562,37.0356,0.5959
182.525281,-34.462555,-0.5741
154.719864,71.751402,0.8614
358.512792,35.885707,-0.7306
240.258271,71.337897,-0.8507
185.014707,-51.92603,1.2803
143.259882,-23.613968,6.7267
116.849829,-74.778609,-0.6342
253.950993,77.822912,0.2667
211.638785,55.937388,-0.8838
305.346541,47.273329,4.7672
199.28186,-11.253459,-0.5599
209.6393,-88.060237,-0.1751
171.848338,84.547796,-0.5495
274.543541,-20.855067,-0.4565
149.397183,-45.39833,-0.9023
306.698258,63.724632,-0.7822
117.736114,-52.958325,-0.3813
249.345017,-59.15321,-0.0407
321.469524,-5.151395,1.1379
276.866591,-7.463112,-0.3402
123.338931,69.3181,9.4296
254.282041,89.312058,0.1703
74.514533,-43.332319,0.383
20.939429,-53.889656,-0.739
284.897426,-5.743177,1.2384
290.883281,-10.485781,0.1814
8.255138,58.116041,2.7614
341.206205,-72.570273,-0.881
160.523938,-61.114355,-0.9656
325.897973,-53.222334,-0.322
283.742829,-75.140361,0.44
324.23527,-78.343974,0.9059
300.015228,2.7064,-0.3342
350.638333,70.198364,7.3427
226.47636,58.051962,-0.4808
81.813185,-55.289287,-0.4172
140.242727,-64.091253,-0.0704
270.67653,20.166866,-0.8164
56.50894,-30.716749,-0.3789
334.743241,0.997337,-0.7025
73.900409,39.024439,0.2639
315.350906,71.770222,-0.5261
174.14062,-56.377872,-0.47
302.623253,-77.41929,-0.5835
344.986451,-49.033981,-0.0124
151.973083,9.699306,2.1574
250.777635,-73.816884,-0.765
81.618337,-31.021851,-0.3612
288.282858,-35.041008,0.5741
295.173234,-70.226315,-0.016
106.288453,86.381137,2.6134
8.690674,63.793776,-0.943
155.233891,16.707434,-0.7103
61.200192,69.171669,-0.4486
294.678389,-38.630931,0.1501
93.99502,62.044864,-0.5302
339.729405,32.156707,-0.5726
349.851226,-48.020657,-0.47
327.180933,31.342079,-0.5817
215.861212,2.071215,1.8611
96.274081,-0.485072,-0.0354
290.613029,77.344909,-0.4886
252.574337,-19.957401,-0.0869
351.780605,75.253839,-0.8666
135.810723,59.119347,-0.6878
21.15648,-13.93618,-0.6804
359.419078,49.587315,1.3688
301.77491,-69.339278,2.2559
79.736288,0.203257,-0.7211
261.226032,-78.742975,1.6776
0.248463,-54.646272,-0.1873
200.811261,-25.653978,-0.5297
130.621767,-73.445129,-0.6701
137.279895,70.467523,-0.5444
88.02713,67.611478,-0.4906
98.944278,-89.225191,-0.8855
163.680719,-72.03746,-0.5287
89.332213,79.172417,-0.3613
167.918381,-89.464721,-0.8649
207.845179,82.163494,-0.6542
256.000112,13.106812,-0.6337
243.772434,9.796372,-0.8783
87.116138,-83.684727,1.5868
14.108253,-24.701266,-0.3817
299.765472,60.590128,-0.9182
314.032623,-31.770793,0.2827
352.400227,72.974964,-0.7391
345.496161,2.694673,-0.8772
228.17305,60.905527,-0.4577
321.937813,50.923996,3.9104
161.283031,-6.565554,-0.4108
283.44083,60.271769,-0.7116
343.920435,65.321343,0.3995
286.660281,83.096644,-0.7636
149.675532,-76.377169,2.8507
135.993329,55.569296,-0.4521
104.955392,29.899559,0.3514
132.142869,36.065175,-0.9215
295.407598,76.844063,-0.371
252.540116,-82.977008,-0.8374
89.956505,45.946728,-0.5776
256.152646,-22.44992,-0.2199
136.582368,18.596418,-0.6481
200.798103,-47.569336,-0.6596
133.332938,-37.605374,2.2368
187.786567,20.965798,-0.96
262.729402,-23.670444,0.5097
263.207034,-36.384668,-0.5404
271.145729,-83.546106,-0.7287
140.773966,-62.469478,-0.6864
248.578359,19.555956,-0.1766
85.936187,-16.936415,0.1057
171.874231,-84.701706,-0.7137
209.91849,-26.882734,-0.1655
247.133587,-24.246492,-0.9464
328.318557,-48.665417,0.9221
109.716709,-60.031307,-0.216
304.302929,-88.285397,-0.8945
112.004731,23.258691,1.3171
198.687391,48.188054,-0.0706
298.115945,-48.187917,-0.2244
260.333858,-31.465752,-0.7807
310.633081,71.948691,-0.855
293.357229,83.948131,-0.771
99.485014,11.995406,16.5258
357.457202,-18.13721,-0.6177
337.319436,87.563773,0.3491
154.862864,-79.512558,0.4947
16.995411,-36.812541,4.1165
109.258802,4.564708,0.0862
301.014911,-45.603449,-0.8629
342.313351,76.179228,-0.6218
299.401904,4.65227,-0.758
142.827565,70.23113,0.0265
20.35314,-30.501871,0.5904
186.329824,-60.218781,0.6104
135.497703,74.88026,0.6796
44.270059,-3.884912,7.6119
38.107205,52.754182,1.0556
55.093278,-33.223984,-0.8942
74.096522,-70.312484,-0.7283
271.363107,24.039645,3.856
137.413249,-42.612906,-0.6385
157.297727,75.007133,-0.1658
215.417281,-37.0894,-0.6866
345.648052,-38.450279,-0.8735
272.328858,45.707419,-0.0955
232.456541,-22.074833,1.5681
267.779568,-64.269806,-0.5257
258.945308,-46.948285,-0.9565
248.489734,29.389846,-0.5064
178.706563,-67.742144,-0.5461
204.064949,35.348981,-0.3996
166.136928,80.624002,-0.6918
142.185059,-65.41013,-0.9058
97.476506,-39.915769,-0.7678
127.876752,-28.687471,-0.8085
154.270662,15.651496,0.588
208.576586,26.584147,-0.3686
179.955035,83.561223,0.4853
38.861624,87.043745,-0.598
122.390516,-32.394128,-0.6917
135.429649,-52.770604,-0.6074
254.493347,-45.108077,-0.7714
119.84115,19.861947,0.2107
2.864094,-41.679446,-0.9324
30.361184,56.789688,-0.5798
178.91943,-6.698708,-0.6171
67.858382,-88.026767,-0.5656
178.064068,51.589529,0.0001
206.713934,-13.936481,-0.9256
336.037645,88.714831,-0.0215
236.008773,47.221303,-0.2588
11.17466,10.749029,0.0203
137.062987,-68.095974,0.0867
285.644509,3.828908,-0.5426
93.802484,20.467531,-0.2766
332.990306,63.895709,2.1206
190.443855,56.039178,-0.9257
33.281169,78.496364,2.4735
87.001394,37.708794,7.6367
326.267712,-3.654971,0.7345
356.92551,-15.932152,-0.5303
310.685721,-4.224747,-0.3835
115.443606,-35.583284,1.1051
276.774845,-64.68015,0.5705
80.001952,-43.879492,-0.0432
138.428023,34.729255,-0.8197
250.980526,-75.761157,2.59
348.804482,-19.582426,0.345
158.11138,-58.269748,0.0596
178.501112,33.958034,1.196
79.26067,-29.743261,-0.4588
145.160187,4.320012,-0.0289
22.686699,60.467767,-0.6698
309.090922,5.069979,-0.5196
8.400452,-36.261965,0.2652
246.06885,17.435494,-0.3181
98.359813,85.454401,-0.245
171.399396,12.38606,-0.5232
101.361038,-27.95386,-0.9312
144.02544,48.633521,1.8871
196.840039,21.50989,-0.7701
230.721628,84.104117,0.78
338.503012,-61.646007,-0.3724
119.592325,87.834387,0.0458
210.548705,35.712825,-0.5235
324.619973,20.485982,-0.6102
104.483451,46.947738,-0.8088
311.417993,-62.820028,1.9391
344.719835,-43.875411,0.5153
305.097734,-68.601092,0.08
205.14978,-1.370715,0.5383
259.961594,2.328177,0.0315
173.183713,72.406555,-0.8427
215.01209,-10.361127,0.2679
350.810664,39.442589,-0.6263
90.4034,-17.289189,0.1509
285.316964,53.616424,-0.7132
182.243934,-69.026097,-0.949
63.674371,-71.315178,-0.644
231.672737,-31.987051,-0.6531
285.273686,89.208541,2.3193
204.752095,6.128003,0.5229
301.475808,27.262997,21.2184
131.712701,-72.340049,-0.311
328.956588,-19.84338,-0.4551
233.395236,77.584283,-0.4778
289.137357,12.561551,-0.372
98.274645,-79.701545,-0.2835
160.606192,63.020946,-0.7169
327.462268,-70.847202,-0.511
18.322398,21.347697,-0.6902
145.433417,-62.686738,-0.3597
280.914717,67.012982,3.9187
267.773288,85.181221,1.6394
306.584219,-43.398634,24.4943
266.18052,62.594435,-0.233
340.953174,73.105341,2.0855
179.37344,46.674223,-0.5293
224.744341,49.741107,0.2381
305.174073,36.251066,-0.5065
252.608742,-77.430127,8.0566
36.740419,-25.979515,-0.4002
132.118723,-34.71247,-0.6888
198.932687,-52.433457,-0.0822
271.698316,-7.204638,-0.6301
195.684325,-43.09044,6.9377
279.917727,4.65844,-0.0042
301.539412,-3.486508,6.9698
95.446177,-88.563527,-0.1216
221.795342,-66.383775,-0.1182
200.559736,15.652628,-0.0834
81.834211,86.258306,-0.0873
176.356112,13.683446,0.4706
197.484582,77.404001,0.2081
294.242355,88.567843,-0.7295
165.956175,33.199552,-0.2976
29.129754,16.125184,-0.521
175.426545,14.340947,-0.6296
301.66234,-53.736327,-0.8991
205.651963,-60.072337,-0.8684
114.791482,-36.272043,-0.565
331.549541,-30.47726,-0.5461
56.034498,-40.020149,2.6309
117.675955,-55.381321,-0.6712
157.368489,45.693935,-0.8916
265.67204,-22.870261,-0.8587
300.868845,14.728548,-0.4272
21.081771,-18.393184,0.6707
285.132895,-10.907149,1.0831
259.390229,-13.335992,-0.4797
322.07483,13.61118,5.8054
324.159477,-48.308176,-0.6553
279.909201,86.98298,-0.849
68.472966,18.191384,-0.6139
112.993742,35.077426,-0.8419
337.075092,-27.75055,-0.6088
215.342388,64.861556,-0.5351
193.953864,-23.92768,3.391
329.655398,60.05388,-0.813
314.711487,-49.161611,6.2327
261.898615,60.525735,-0.0446
317.610829,81.176979,5.3929
40.980592,-53.474536,0.809
272.715828,-83.989104,-0.6753
347.630473,58.253965,-0.5737
17.631645,15.053108,-0.4746
80.296435,-45.969706,-0.5909
285.82862,6.392953,3.273
187.216979,87.119283,-0.5946
31.182608,79.535526,-0.9342
96.46489,-34.651097,-0.533
116.661456,33.99059,-0.5303
115.58258,1.905799,-0.5389
315.96219,-38.426608,-0.328
238.333125,-64.253468,-0.1475
264.57022,-67.132798,2.8573
4.885232,-85.643472,0.1882
153.904321,24.945534,-0.952
114.415426,-41.242884,-0.84
306.693145,15.379899,-0.5941
343.393075,46.109415,0.3966
152.402706,-89.129841,-0.0788
350.301821,-10.202122,-0.8258
5.169313,-41.084424,0.3251
117.258986,20.460755,0.2589
278.975224,-64.186794,1.2615
129.635867,12.68306,-0.6572
331.546439,15.496033,0.442
78.647361,25.107506,-0.157
286.440022,-71.798188,-0.9024
72.612811,86.260122,0.6712
70.95777,-11.434487,-0.3392
160.469769,-7.406617,0.3083
340.178612,39.247446,-0.9568
210.763786,76.380329,-0.4902
228.611842,33.16849,-0.7117
3.503762,30.006926,1.5364
20.381474,35.041827,-0.5549
24.096249,32.190262,-0.3522
295.071183,7.26991,-0.5229
85.266764,2.741377,-0.0293
118.381746,-4.267187,-0.3672
219.583,47.270877,-0.6814
210.223554,-5.864898,0.1135
147.790619,-65.249282,-0.3971
1.548074,-2.034352,-0.6368
161.856927,24.605551,-0.6201
265.997742,11.691163,0.661
84.686154,21.183109,-0.0726
255.008884,-21.261353,-0.8775
5.455015,-58.530011,-0.4173
326.88281,39.738076,2.8669
342.014115,-83.232545,-0.7199
0.886134,-44.152341,-0.2771
164.814629,77.819938,-0.8038
148.975898,-23.723552,-0.618
303.078008,-29.873554,-0.5113
194.659773,-67.546425,0.2671
220.091569,-44.86216,-0.6759
72.902161,-28.879248,2.8352
27.74328,-39.668265,-0.8166
249.239195,-45.175231,-0.1214
223.443357,77.420219,-0.8984
299.638344,10.894266,-0.2834
304.086041,-81.100874,1.2379
227.172699,77.599668,-0.0886
193.810098,55.632825,-0.857
329.042977,-71.931846,5.9463
288.455089,-47.653946,1.1358
317.672998,-55.37569,-0.5912
358.502723,34.280006,-0.3066
145.262084,18.253261,-0.2527
258.096478,47.902302,-0.905
247.704413,1.362978,-0.7464
62.691377,-35.597127,-0.377
229.157496,-46.333862,2.2269
154.112139,29.476433,-0.7253
162.228812,-22.708317,-0.5232
64.849676,-17.878765,0.8433
268.106165,-52.134551,0.3572
251.258756,51.582279,2.3118
191.62445,19.606501,0.4733
56.418909,-50.168583,-0.0968
200.471323,-14.957706,-0.0884
36.048032,36.996769,1.9258
122.173929,34.399981,-0.7129
134.048823,-8.959826,0.5198
318.033141,27.875523,-0.6389
149.602347,21.981952,-0.6062
215.449153,-74.6137,-0.1998
314.920436,14.990287,-0.3853
153.273398,-81.15147,-0.6912
318.133267,53.816893,-0.4952
49.126073,58.867893,-0.4267
131.343537,-80.575466,0.181
34.10181,-30.421538,-0.3794
201.934667,50.828785,0.0035
344.621542,29.388943,-0.0571
236.502661,-20.534151,-0.694
225.387222,-42.947045,-0.0629
100.137108,-36.880131,-0.9686
335.198433,-68.02398,5.1555
169.752523,89.606478,7.2255
96.120739,31.855327,-0.226
355.571993,8.881546,-0.7106
152.324616,87.292747,0.0989
133.739634,-23.242333,-0.8745
12.586056,66.713959,2.1369
64.18619,70.414177,0.1454
291.308888,-68.197172,-0.7373
173.770238,88.362371,-0.8536
343.754902,44.898207,-0.9657
30.198889,-27.98559,0.0455
221.739639,-17.427851,-0.9079
259.194293,-77.236531,-0.624
223.625926,51.14739,-0.4196
190.755922,-35.130867,-0.6788
208.187395,-28.446721,-0.8831
248.237853,3.020485,-0.3597
310.774876,1.02959,-0.3756
121.084072,-52.817175,-0.4836
165.475469,-87.945832,3.7537
228.927451,38.464315,4.9112
113.117743,-11.258609,-0.5077
64.361832,39.338676,0.6791
347.820752,-20.193687,-0.6531
70.1024,-23.041267,-0.8986
83.783914,73.175806,-0.035
222.726996,-41.644525,-0.8864
27.852592,-21.090642,1.2493
12.257155,-26.322686,-0.4309
23.044897,-54.897957,-0.5825
44.374912,-53.531597,-0.8172
154.51087,80.312826,-0.4021
298.533832,-72.737027,-0.6198
123.109882,37.951995,-0.9109
153.911309,-69.50777,-0.5398
216.090393,-61.582321,-0.4028
108.771993,41.881988,0.0674
155.713636,23.328466,-0.6776
139.072207,-26.355866,-0.4691
123.078075,-45.909245,-0.6504
139.821541,-14.756782,-0.6561
4.002376,67.099036,-0.6154
319.053841,40.608778,-0.1754
351.844847,71.564541,-0.602
310.498629,-38.213599,-0.59
